zipcode,GEOID10,latitude,longitude
61857,61857,40.11657445,-87.8422212
53536,53536,42.76194362,-89.2654753
2536,2536,41.5967629,-70.5671666
2537,2537,41.72985246,-70.4400206
2538,2538,41.77702928,-70.6491774
2539,2539,41.37939833,-70.5222437
2540,2540,41.57347646,-70.6289099
2542,2542,41.70260042,-70.5468578
2543,2543,41.52883644,-70.6636659
2543,2543,41.47371161,-70.7766113
2553,2553,41.71273519,-70.6198319
2554,2554,41.25271391,-69.9960662
2554,2554,41.28770968,-70.0948277
2556,2556,41.63956909,-70.6258543
2557,2557,41.44170661,-70.5739598
2558,2558,41.74491503,-70.6535768
2559,2559,41.69102563,-70.6164242
2561,2561,41.76886834,-70.5331143
2562,2562,41.78746395,-70.5268263
2563,2563,41.68747641,-70.4577144
2563,2563,41.7444845,-70.4928985
2564,2564,41.26465426,-69.9846068
75137,75137,32.63399111,-96.9117543
75140,75140,32.64690355,-95.691426
75141,75141,32.63997775,-96.6945938
75142,75142,32.57358707,-96.247153
75143,75143,32.36358541,-96.2481699
75144,75144,32.1131089,-96.208842
75146,75146,32.57460402,-96.7506695
75147,75147,32.43299715,-96.0774248
75148,75148,32.12465337,-96.0121419
75149,75149,32.76999633,-96.6148712
75150,75150,32.81577153,-96.6303683
75152,75152,32.43645287,-96.680363
75153,75153,32.15026923,-96.3286092
75154,75154,32.52277387,-96.8101028
75155,75155,32.22560808,-96.4731608
75156,75156,32.2868852,-96.0997861
75157,75157,32.46226812,-96.4468455
70464,70464,30.53956233,-89.9100561
75158,75158,32.46222112,-96.3966164
70465,70465,30.85157109,-90.5197857
80476,80476,39.68543119,-105.811236
80477,80477,40.48639105,-106.829353
80478,80478,40.02789609,-105.84698
70466,70466,30.5680606,-90.5013998
80479,80479,40.03183116,-106.833125
75159,75159,32.60747174,-96.540873
70471,70471,30.40717494,-90.0623084
80480,80480,40.67292903,-106.352412
80481,80481,40.08961222,-105.54586
75160,75160,32.76169263,-96.3001822
80482,80482,39.89393686,-105.78446
80483,80483,40.11977985,-106.917743
70501,70501,30.23972943,-91.99046
42044,42044,36.9587427,-88.2647933
48506,48506,43.06787395,-83.6216021
42045,42045,37.06499447,-88.2619491
42047,42047,37.29582298,-88.3923897
42048,42048,36.76681019,-88.2280805
42049,42049,36.51786713,-88.3265474
48507,48507,43.00452504,-83.6357309
48507,48507,43.0041782,-83.6411263
48507,48507,42.95429301,-83.6499626
48507,48507,42.99125396,-83.7693243
48507,48507,42.96595817,-83.7188398
42050,42050,36.56387879,-89.0302539
42050,42050,36.55198936,-89.2214636
42051,42051,36.82015017,-88.5783474
42051,42051,36.85679163,-88.5446038
42051,42051,36.85446359,-88.7018325
48509,48509,43.02611905,-83.6053878
48519,48519,42.98747988,-83.6069323
48529,48529,42.97243587,-83.6617818
42053,42053,37.11295821,-88.8810159
42054,42054,36.77073025,-88.4392836
42054,42054,36.71525561,-88.4339128
48532,48532,43.01230179,-83.7895063
48532,48532,43.01805221,-83.8697751
48551,48551,42.98101393,-83.7169224
48553,48553,42.9778479,-83.7235465
